filename	price	unit	price_per_100g
/home/nacnudus/R/food/items/groceries|12-snack-sausage-rolls-360g.html	1.9	unit	NA
/home/nacnudus/R/food/items/groceries|12-snack-sausage-rolls-360g.html	0.53	100g	0.53
/home/nacnudus/R/food/items/groceries|1kg-chopped-tomatoes.html	0.8	unit	NA
/home/nacnudus/R/food/items/groceries|1kg-chopped-tomatoes.html	0.8	kg	0.08
/home/nacnudus/R/food/items/groceries|60-cocktail-sausages-600g.html	3.1	unit	NA
/home/nacnudus/R/food/items/groceries|60-cocktail-sausages-600g.html	0.52	100g	0.52
/home/nacnudus/R/food/items/groceries|7up-2l.html	1.3	unit	NA
/home/nacnudus/R/food/items/groceries|7up-2l.html	0.07	100ml	0.07
/home/nacnudus/R/food/items/groceries|7up-6x330ml.html	2.5	unit	NA
/home/nacnudus/R/food/items/groceries|7up-6x330ml.html	0.12000000000000001	100ml	0.12000000000000001
/home/nacnudus/R/food/items/groceries|7up-light-2l.html	1.3	unit	NA
/home/nacnudus/R/food/items/groceries|7up-light-2l.html	0.07	100ml	0.07
/home/nacnudus/R/food/items/groceries|7up-sugar-free-6x330ml.html	2.5	unit	NA
/home/nacnudus/R/food/items/groceries|7up-sugar-free-6x330ml.html	0.12000000000000001	100ml	0.12000000000000001
/home/nacnudus/R/food/items/groceries|9-bar-flax-carob-hit-bars-5x40g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|9-bar-flax-carob-hit-bars-5x40g.html	1	100g	1
/home/nacnudus/R/food/items/groceries|9-bar-original-carob-hit-bars-5x40g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|9-bar-original-carob-hit-bars-5x40g.html	1	100g	1
/home/nacnudus/R/food/items/groceries|9-bar-pumpkin-original-lift-bars-5x40g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|9-bar-pumpkin-original-lift-bars-5x40g.html	1	100g	1
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1008548&urlRequestType=Base&categoryId=276051&catalogId=10204&langId=44.html	3.7	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1008548&urlRequestType=Base&categoryId=276051&catalogId=10204&langId=44.html	12.33	kg	1.233
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1008548&urlRequestType=Base&categoryId=276055&catalogId=10204&langId=44.html	3.7	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1008548&urlRequestType=Base&categoryId=276055&catalogId=10204&langId=44.html	12.33	kg	1.233
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1099760&urlRequestType=Base&categoryId=12648&catalogId=10241&langId=44.html	1.5	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1099760&urlRequestType=Base&categoryId=12648&catalogId=10241&langId=44.html	0.3	ea	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1107810&urlRequestType=Base&categoryId=207814&catalogId=10241&langId=44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1107810&urlRequestType=Base&categoryId=207814&catalogId=10241&langId=44.html	0.27	100g	0.27
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1122410&urlRequestType=Base&categoryId=185706&catalogId=10315&langId=44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1122410&urlRequestType=Base&categoryId=185706&catalogId=10315&langId=44.html	0.17	ea	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1122410&urlRequestType=Base&categoryId=247912&catalogId=10248&langId=44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1122410&urlRequestType=Base&categoryId=247912&catalogId=10248&langId=44.html	0.17	ea	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1122410&urlRequestType=Base&categoryId=247922&catalogId=10246&langId=44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1122410&urlRequestType=Base&categoryId=247922&catalogId=10246&langId=44.html	0.17	ea	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1122410&urlRequestType=Base&categoryId=247924&catalogId=10246&langId=44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1122410&urlRequestType=Base&categoryId=247924&catalogId=10246&langId=44.html	0.17	ea	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1122410&urlRequestType=Base&categoryId=304855&catalogId=10248&langId=44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=1122410&urlRequestType=Base&categoryId=304855&catalogId=10248&langId=44.html	0.17	ea	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=817246&urlRequestType=Base&categoryId=12545&catalogId=10176&langId=44.html	0.8	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=817246&urlRequestType=Base&categoryId=12545&catalogId=10176&langId=44.html	0.13	ea	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=817246&urlRequestType=Base&categoryId=13205&catalogId=10244&langId=44.html	0.8	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=817246&urlRequestType=Base&categoryId=13205&catalogId=10244&langId=44.html	0.13	ea	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=859722&urlRequestType=Base&categoryId=267423&catalogId=10254&langId=44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=859722&urlRequestType=Base&categoryId=267423&catalogId=10254&langId=44.html	0.22	100g	0.22
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=859722&urlRequestType=Base&categoryId=267445&catalogId=10245&langId=44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=859722&urlRequestType=Base&categoryId=267445&catalogId=10245&langId=44.html	0.22	100g	0.22
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=859722&urlRequestType=Base&categoryId=279813&catalogId=10204&langId=44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=859722&urlRequestType=Base&categoryId=279813&catalogId=10204&langId=44.html	0.22	100g	0.22
